,Search Trends,close
2016-10-25 11:00:00,22.0,171.72
2016-10-25 12:00:00,31.0,171.8
2016-10-25 13:00:00,35.0,172.04
2016-10-25 14:00:00,36.0,171.17
2016-10-25 15:00:00,42.0,171.14
2016-10-26 09:00:00,7.0,170.79
2016-10-26 10:00:00,15.0,171.19
2016-10-26 11:00:00,28.0,171.53
2016-10-26 12:00:00,40.0,170.11
2016-10-26 13:00:00,47.0,168.98
2016-10-26 14:00:00,52.0,171.24
2016-10-26 15:00:00,52.0,170.67
2016-10-27 09:00:00,8.0,171.46
2016-10-27 10:00:00,16.0,168.81
2016-10-27 11:00:00,30.0,169.86
2016-10-27 12:00:00,41.0,169.39
2016-10-27 13:00:00,45.0,169.72
2016-10-27 14:00:00,51.0,169.01
2016-10-27 15:00:00,51.0,169.28
2016-10-28 09:00:00,8.0,169.26
2016-10-28 10:00:00,16.0,168.66
2016-10-28 11:00:00,27.0,168.27
2016-10-28 12:00:00,39.0,168.4
2016-10-28 13:00:00,45.0,166.38
2016-10-28 14:00:00,49.0,167.49
2016-10-28 15:00:00,50.0,168.23
2016-10-31 09:00:00,9.0,168.16
2016-10-31 10:00:00,18.0,166.95
2016-10-31 11:00:00,33.0,167.19
2016-10-31 12:00:00,46.0,166.59
2016-10-31 13:00:00,52.0,167.27
2016-10-31 14:00:00,58.0,167.095
2016-10-31 15:00:00,59.0,167.975
2016-11-01 09:00:00,9.0,168.18
2016-11-01 10:00:00,17.0,169.13
2016-11-01 11:00:00,31.0,169.85
2016-11-01 12:00:00,45.0,169.51
2016-11-01 13:00:00,48.0,169.32
2016-11-01 14:00:00,52.0,169.99
2016-11-01 15:00:00,54.0,169.92
2016-11-02 09:00:00,8.0,168.22
2016-11-02 10:00:00,16.0,167.61
2016-11-02 11:00:00,29.0,167.48
2016-11-02 12:00:00,42.0,167.23
2016-11-02 13:00:00,48.0,167.4
2016-11-02 14:00:00,50.0,167.25
2016-11-02 15:00:00,53.0,166.53
2016-11-03 09:00:00,9.0,166.75
2016-11-03 10:00:00,16.0,166.83
2016-11-03 11:00:00,29.0,166.93
2016-11-03 12:00:00,40.0,167.12
2016-11-03 13:00:00,44.0,167.57
2016-11-03 14:00:00,50.0,167.38
2016-11-03 15:00:00,51.0,165.74
2016-11-04 09:00:00,9.0,169.94
2016-11-04 10:00:00,17.0,169.17
2016-11-04 11:00:00,30.0,168.31
2016-11-04 12:00:00,41.0,171.83
2016-11-04 13:00:00,46.0,169.61
2016-11-04 14:00:00,51.0,167.37
2016-11-04 15:00:00,51.0,166.995
2016-11-07 09:00:00,7.0,168.5
2016-11-07 10:00:00,15.0,169.07
2016-11-07 11:00:00,29.0,168.8
2016-11-07 12:00:00,42.0,170.5
2016-11-07 13:00:00,50.0,169.38
2016-11-07 14:00:00,55.0,169.33
2016-11-07 15:00:00,55.0,169.28
2016-11-08 09:00:00,9.0,169.56
